uid,name,phone,region_name,area_name,distributor_name,territory_name,points,routes,notes
RET-000010001,Kabir Wholesale,01637689286,Rajshahi,Boalia,Sunrise Wholesale,Boalia - Zone 3,415,Route-35,"Regular customer, prefers morning visits"
RET-000010002,Hossain Mart,01643778242,Chattogram,Chandgaon,Prime Wholesale,Chandgaon - Zone 4,448,Route-67,Prefers WhatsApp communication
RET-000010003,Bhuiyan Bhandar,01527888285,Barishal,Babuganj,Nation Suppliers,Babuganj - Zone 3,168,Route-100,
RET-000010004,Khan Varieties,01720484367,Rangpur,Pirganj,Elite Commerce,Pirganj - Zone 5,665,Route-92,Needs follow-up on pending order
RET-000010005,Alam Trading,01391627342,Chattogram,Agrabad,Khan Brothers,Agrabad - Zone 1,276,Route-98,
RET-000010006,Sharif Wholesale,01952894915,Sylhet,Subid Bazar,City Distributors,Subid Bazar - Zone 1,807,Route-78,
RET-000010007,Sarkar Dokan,01719453050,Barishal,Babuganj,Evergreen Trading,Babuganj - Zone 1,812,Route-22,"New retailer, handle with care"
RET-000010008,Taher Enterprise,01676818142,Barishal,Kotwali,Evergreen Trading,Kotwali - Zone 1,244,Route-47,Located near main market
RET-000010009,Hossain Grocery,01597863808,Rajshahi,Motihar,Delta Suppliers,Motihar - Zone 5,258,Route-67,
RET-000010010,Khatun Super Shop,01383135895,Barishal,Gournadi,Khan Brothers,Gournadi - Zone 4,597,Route-35,"Bulk buyer, offer discounts"
RET-000010011,Akbar Mart,01885135167,Chattogram,Agrabad,Nation Suppliers,Agrabad - Zone 5,91,Route-74,"New retailer, handle with care"
RET-000010012,Noor Varieties,01618394385,Sylhet,Ambarkhana,United Distributors,Ambarkhana - Zone 4,459,Route-99,Needs follow-up on pending order
RET-000010013,Das Wholesale,01527321665,Khulna,Batiaghata,Star Distribution Co.,Batiaghata - Zone 5,737,Route-77,High volume retailer
RET-000010014,Alam Corner,01531106331,Khulna,Boyra,Diamond Wholesale,Boyra - Zone 1,51,Route-21,
RET-000010015,Mondal Store,01684706488,Mymensingh,Muktagachha,Delta Suppliers,Muktagachha - Zone 2,355,Route-10,Payment always on time
RET-000010016,Kabir Mini Mart,01534250452,Rajshahi,Boalia,Global Supply Chain,Boalia - Zone 5,202,Route-42,
RET-000010017,Jahan Store,01975590568,Rajshahi,Paba,Elite Commerce,Paba - Zone 1,613,Route-81,"Regular customer, prefers morning visits"
RET-000010018,Akter Store,01724753649,Khulna,Batiaghata,Khan Brothers,Batiaghata - Zone 2,946,Route-94,
RET-000010019,Taher Store,01538176366,Khulna,Boyra,Royal Traders,Boyra - Zone 4,168,Route-25,Needs follow-up on pending order
RET-000010020,Ali Grocery,01934165788,Sylhet,South Surma,Mega Trade BD,South Surma - Zone 2,174,Route-97,"New retailer, handle with care"
RET-000010021,Akbar Point,01850790341,Rangpur,Gangachara,Diamond Wholesale,Gangachara - Zone 3,38,Route-34,Payment always on time
RET-000010022,Chowdhury Varieties,01981439772,Mymensingh,Trishal,Mega Trade BD,Trishal - Zone 1,674,Route-78,Needs follow-up on pending order
RET-000010023,Jahan Corner,01596274346,Dhaka,Uttara,AB Trading,Uttara - Zone 5,693,Route-69,"New retailer, handle with care"
RET-000010024,Iqbal Varieties,01951966332,Dhaka,Motijheel,Delta Suppliers,Motijheel - Zone 3,40,Route-66,
RET-000010025,Ali Mini Mart,01928841795,Sylhet,Subid Bazar,Royal Traders,Subid Bazar - Zone 2,290,Route-89,
RET-000010026,Sharif Bhandar,01685542876,Sylhet,Zindabazar,City Distributors,Zindabazar - Zone 5,845,Route-18,Payment always on time
RET-000010027,Khatun Store,01827579620,Barishal,Gournadi,Prime Wholesale,Gournadi - Zone 3,68,Route-39,Prefers WhatsApp communication
RET-000010028,Iqbal Grocery,01874315704,Barishal,Babuganj,Elite Commerce,Babuganj - Zone 3,83,Route-74,"New retailer, handle with care"
RET-000010029,Rahman Mart,01610340342,Rangpur,Kaunia,Prime Wholesale,Kaunia - Zone 1,449,Route-66,Payment always on time
RET-000010030,Khan Dokan,01568303113,Rajshahi,Motihar,Star Distribution Co.,Motihar - Zone 1,277,Route-43,Prefers WhatsApp communication
RET-000010031,Alam Corner,01561193718,Mymensingh,Fulbaria,Prime Wholesale,Fulbaria - Zone 4,914,Route-19,
RET-000010032,Ahmed Varieties,01329328333,Barishal,Airport,City Distributors,Airport - Zone 5,445,Route-69,"New retailer, handle with care"
RET-000010033,Bhuiyan Retail Hub,01975791354,Dhaka,Banani,Evergreen Trading,Banani - Zone 4,830,Route-45,High volume retailer
RET-000010034,Khatun Point,01733441793,Dhaka,Mirpur,Delta Suppliers,Mirpur - Zone 4,279,Route-21,
RET-000010035,Ali Super Shop,01341026551,Dhaka,Banani,AB Trading,Banani - Zone 1,487,Route-63,Needs follow-up on pending order
RET-000010036,Sultana Mini Mart,01524629972,Barishal,Airport,Bangla Trade House,Airport - Zone 2,462,Route-81,
RET-000010037,Sarkar General Store,01697464052,Mymensingh,Bhaluka,Eastern Commerce,Bhaluka - Zone 5,372,Route-83,"New retailer, handle with care"
RET-000010038,Sarkar Point,01771674193,Rangpur,Pirganj,Prime Wholesale,Pirganj - Zone 4,321,Route-80,"New retailer, handle with care"
RET-000010039,Akbar Retail Hub,01394681901,Rangpur,Rangpur Sadar,Nation Suppliers,Rangpur Sadar - Zone 5,65,Route-28,"New retailer, handle with care"
RET-000010040,Mia Retail Hub,01735580553,Barishal,Kotwali,Khan Brothers,Kotwali - Zone 5,910,Route-18,Prefers WhatsApp communication
RET-000010041,Das Mini Mart,01917744619,Mymensingh,Muktagachha,Diamond Wholesale,Muktagachha - Zone 4,152,Route-62,
RET-000010042,Rahman Paiker,01585267827,Dhaka,Mirpur,Prime Wholesale,Mirpur - Zone 3,424,Route-39,"Bulk buyer, offer discounts"
RET-000010043,Reza Dokan,01885621595,Dhaka,Banani,Star Distribution Co.,Banani - Zone 3,466,Route-7,High volume retailer
RET-000010044,Mondal Paiker,01873355935,Chattogram,Panchlaish,Prime Wholesale,Panchlaish - Zone 3,125,Route-88,"New retailer, handle with care"
RET-000010045,Sharif Mart,01342985156,Dhaka,Mohammadpur,Rahman Enterprises,Mohammadpur - Zone 2,965,Route-92,"New retailer, handle with care"
RET-000010046,Ali Paiker,01873948707,Rangpur,Gangachara,Bangla Trade House,Gangachara - Zone 2,148,Route-2,
RET-000010047,Kamal General Store,01654944094,Dhaka,Dhanmondi,Delta Suppliers,Dhanmondi - Zone 2,183,Route-82,
RET-000010048,Taher Mart,01987337453,Dhaka,Tejgaon,Delta Suppliers,Tejgaon - Zone 3,678,Route-74,High volume retailer
RET-000010049,Sultana Trading,01387560478,Barishal,Gournadi,Evergreen Trading,Gournadi - Zone 2,953,Route-63,
RET-000010050,Chowdhury General Store,01523348500,Sylhet,Tilagarh,Elite Commerce,Tilagarh - Zone 3,215,Route-27,
RET-000010051,Siddique General Store,01784589239,Chattogram,Panchlaish,Khan Brothers,Panchlaish - Zone 5,942,Route-85,
RET-000010052,Khan Trading,01381788322,Dhaka,Mohammadpur,Diamond Wholesale,Mohammadpur - Zone 1,697,Route-51,High volume retailer
RET-000010053,Reza Wholesale,01915065708,Khulna,Sonadanga,City Distributors,Sonadanga - Zone 1,263,Route-44,Located near main market
